15.7347 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of ['Built-in Output']
49.5359 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
126.2353 	DATA 	Keypress: space
160.5135 	DATA 	Keypress: space
170.0420 	DATA 	Keypress: space
191.5450 	DATA 	Keypress: space
227.5786 	DATA 	Keypress: space
237.4113 	DATA 	Keypress: space
249.7043 	DATA 	Keypress: space
256.4923 	DATA 	Keypress: space
270.6779 	DATA 	Keypress: space
282.1712 	DATA 	Keypress: space
289.7920 	DATA 	Keypress: space
301.0305 	DATA 	Keypress: space
311.2340 	DATA 	Keypress: space
317.2752 	DATA 	Keypress: space
323.7309 	DATA 	Keypress: space
337.2864 	DATA 	Keypress: space
348.1775 	DATA 	Keypress: n
350.5912 	DATA 	Keypress: space
362.7164 	DATA 	Keypress: y
364.9682 	DATA 	Keypress: space
378.4919 	DATA 	Keypress: n
380.1781 	DATA 	Keypress: space
381.3831 	DATA 	Keypress: space
390.9578 	DATA 	Keypress: y
394.1112 	DATA 	Keypress: space
395.2071 	DATA 	Keypress: space
400.1186 	DATA 	Keypress: space
405.0137 	DATA 	Keypress: space
407.5390 	DATA 	Keypress: space
416.3767 	DATA 	Keypress: n
418.1624 	DATA 	Keypress: space
427.7568 	DATA 	Keypress: y
429.4438 	DATA 	Keypress: space
440.1892 	DATA 	Keypress: n
441.7876 	DATA 	Keypress: space
452.3386 	DATA 	Keypress: y
453.8962 	DATA 	Keypress: space
464.0534 	DATA 	Keypress: y
464.9778 	DATA 	Keypress: space
466.3165 	DATA 	Keypress: space
475.7175 	DATA 	Keypress: y
478.5855 	DATA 	Keypress: space
489.0720 	DATA 	Keypress: n
489.9057 	DATA 	Keypress: space
491.7313 	DATA 	Keypress: space
502.3054 	DATA 	Keypress: y
503.1241 	DATA 	Keypress: space
503.7961 	DATA 	Keypress: space
515.9753 	DATA 	Keypress: n
516.8864 	DATA 	Keypress: space
517.7036 	DATA 	Keypress: space
527.9913 	DATA 	Keypress: n
528.8103 	DATA 	Keypress: space
530.2205 	DATA 	Keypress: space
540.4735 	DATA 	Keypress: n
542.2171 	DATA 	Keypress: space
552.8075 	DATA 	Keypress: n
553.6256 	DATA 	Keypress: space
554.4005 	DATA 	Keypress: space
564.3885 	DATA 	Keypress: y
565.2071 	DATA 	Keypress: space
565.9881 	DATA 	Keypress: space
576.2538 	DATA 	Keypress: y
577.0976 	DATA 	Keypress: space
578.0004 	DATA 	Keypress: space
588.3183 	DATA 	Keypress: y
589.1367 	DATA 	Keypress: space
590.1009 	DATA 	Keypress: space
599.6994 	DATA 	Keypress: n
601.0551 	DATA 	Keypress: space
611.7147 	DATA 	Keypress: n
612.9166 	DATA 	Keypress: space
622.3767 	DATA 	Keypress: n
623.9233 	DATA 	Keypress: space
633.0041 	DATA 	Keypress: y
634.2110 	DATA 	Keypress: space
644.6525 	DATA 	Keypress: y
648.0607 	DATA 	Keypress: space
657.7210 	DATA 	Keypress: n
659.7218 	DATA 	Keypress: space
669.0857 	DATA 	Keypress: y
669.9809 	DATA 	Keypress: space
