26.0112 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
31.8622 	DATA 	Keypress: space
34.4085 	DATA 	Keypress: space
36.4080 	DATA 	Keypress: space
37.4884 	DATA 	Keypress: space
37.9205 	DATA 	Keypress: space
38.5607 	DATA 	Keypress: space
39.2807 	DATA 	Keypress: space
39.7844 	DATA 	Keypress: space
40.3273 	DATA 	Keypress: space
40.7672 	DATA 	Keypress: space
41.2731 	DATA 	Keypress: space
41.8872 	DATA 	Keypress: space
44.0725 	DATA 	Keypress: space
46.9678 	DATA 	Keypress: space
52.1677 	DATA 	Keypress: b
65.2595 	DATA 	Keypress: n
68.7754 	DATA 	Keypress: space
78.8966 	DATA 	Keypress: y
80.4079 	DATA 	Keypress: space
92.9655 	DATA 	Keypress: n
94.6563 	DATA 	Keypress: space
110.1306 	DATA 	Keypress: y
114.3279 	DATA 	Keypress: space
133.7347 	DATA 	Mouse: Left button down, pos=(1027,989)
133.8053 	DATA 	Mouse:  Left button up, pos=(1046,983)
135.3537 	DATA 	Keypress: lcommand
135.4782 	DATA 	Keypress: tab
137.1272 	DATA 	Keypress: space
138.4794 	DATA 	Keypress: space
149.5467 	DATA 	Keypress: n
151.8164 	DATA 	Keypress: space
162.5552 	DATA 	Keypress: y
163.9913 	DATA 	Keypress: space
174.5319 	DATA 	Keypress: n
176.9113 	DATA 	Keypress: space
186.5579 	DATA 	Keypress: y
188.4153 	DATA 	Keypress: space
197.3676 	DATA 	Keypress: y
198.8152 	DATA 	Keypress: space
216.2836 	DATA 	Keypress: n
223.1516 	DATA 	Keypress: space
234.0680 	DATA 	Keypress: y
235.4954 	DATA 	Keypress: space
245.6084 	DATA 	Keypress: y
247.2552 	DATA 	Keypress: space
260.1038 	DATA 	Keypress: n
261.5111 	DATA 	Keypress: space
271.0291 	DATA 	Keypress: n
272.4630 	DATA 	Keypress: space
283.5391 	DATA 	Keypress: n
285.7751 	DATA 	Keypress: space
295.9987 	DATA 	Keypress: n
297.9429 	DATA 	Keypress: space
307.1923 	DATA 	Keypress: y
308.7750 	DATA 	Keypress: space
319.1029 	DATA 	Keypress: y
320.6471 	DATA 	Keypress: space
329.9929 	DATA 	Keypress: n
331.6878 	DATA 	Keypress: space
343.6894 	DATA 	Keypress: n
345.5190 	DATA 	Keypress: space
358.6166 	DATA 	Keypress: y
360.0711 	DATA 	Keypress: space
369.0262 	DATA 	Keypress: n
370.3831 	DATA 	Keypress: space
379.1841 	DATA 	Keypress: y
380.7224 	DATA 	Keypress: space
389.4086 	DATA 	Keypress: y
390.9511 	DATA 	Keypress: space
402.8732 	DATA 	Keypress: y
404.5192 	DATA 	Keypress: space
414.9643 	DATA 	Keypress: n
416.8872 	DATA 	Keypress: space
426.1398 	DATA 	Keypress: y
427.5523 	DATA 	Keypress: space
439.3838 	DATA 	Keypress: n
445.4792 	DATA 	Keypress: space
457.2653 	DATA 	Keypress: d
459.5435 	DATA 	Keypress: space
468.6080 	DATA 	Keypress: y
470.2549 	DATA 	Keypress: space
480.7208 	DATA 	Keypress: y
482.5831 	DATA 	Keypress: space
493.2119 	DATA 	Keypress: n
494.8150 	DATA 	Keypress: space
506.7729 	DATA 	Keypress: n
508.7350 	DATA 	Keypress: space
518.6001 	DATA 	Keypress: y
520.0630 	DATA 	Keypress: space
528.3906 	DATA 	Keypress: y
530.0708 	DATA 	Keypress: space
540.0840 	DATA 	Keypress: n
541.7037 	DATA 	Keypress: space
551.0087 	DATA 	Keypress: y
552.4072 	DATA 	Keypress: space
569.1747 	DATA 	Keypress: y
573.0153 	DATA 	Keypress: space
