8.7306 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of ['Built-in Output', 'Display Audio']
34.3727 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [2560, 1440]. Using actual size
37.6418 	DATA 	Keypress: space
37.8193 	DATA 	Keypress: space
38.1551 	DATA 	Keypress: space
38.3312 	DATA 	Keypress: space
38.4910 	DATA 	Keypress: space
38.6525 	DATA 	Keypress: space
38.8148 	DATA 	Keypress: space
38.9801 	DATA 	Keypress: space
39.1324 	DATA 	Keypress: space
39.2999 	DATA 	Keypress: space
39.4608 	DATA 	Keypress: space
39.6352 	DATA 	Keypress: space
39.9400 	DATA 	Keypress: space
40.2518 	DATA 	Keypress: space
40.7878 	DATA 	Keypress: space
49.6853 	DATA 	Keypress: n
51.6592 	DATA 	Keypress: space
61.7441 	DATA 	Keypress: y
63.2271 	DATA 	Keypress: space
77.5732 	DATA 	Keypress: n
79.5639 	DATA 	Keypress: space
90.0163 	DATA 	Keypress: y
92.4911 	DATA 	Keypress: space
96.3393 	DATA 	Keypress: space
98.3550 	DATA 	Keypress: space
102.5632 	DATA 	Keypress: space
105.4831 	DATA 	Keypress: space
117.7751 	DATA 	Keypress: y
120.5790 	DATA 	Keypress: space
139.4415 	DATA 	Keypress: n
143.3470 	DATA 	Keypress: space
155.2712 	DATA 	Keypress: y
157.4832 	DATA 	Keypress: space
166.5980 	DATA 	Keypress: y
168.4197 	DATA 	Keypress: space
181.6757 	DATA 	Keypress: n
184.8832 	DATA 	Keypress: space
198.1737 	DATA 	Keypress: y
200.2511 	DATA 	Keypress: space
211.7841 	DATA 	Keypress: d
213.6429 	DATA 	Keypress: space
225.9795 	DATA 	Keypress: n
227.6909 	DATA 	Keypress: space
237.2049 	DATA 	Keypress: n
238.7073 	DATA 	Keypress: space
247.2480 	DATA 	Keypress: y
248.0676 	DATA 	Keypress: space
248.5948 	DATA 	Keypress: space
268.3984 	DATA 	Keypress: y
271.9469 	DATA 	Keypress: space
281.2600 	DATA 	Keypress: n
282.7387 	DATA 	Keypress: space
293.7690 	DATA 	Keypress: y
295.2671 	DATA 	Keypress: space
